السنة ,Unnamed: 1,القيروان,السبيخة,الوسلاتية,الشبيكة,حفوز,العلا,الحاجب,نصرالله,بوحجلة,الشراردة,العلم,منزل المهيري,عين جلولة,المعدل الشهري 2019/2020,المعدل الشهري العام,الفارق (مم),_source_dataset
2020,سبتمبـــــر,36.5,116.0,136.5,66.0,72.0,60.0,12.0,17.5,29.5,42.5,73.0,28.0,114.0,61.8,44.0,18.0,donnee-climatique
2020,أكتوبــــــر,45.0,20.0,6.0,29.0,30.5,37.0,23.5,21.5,15.0,45.0,25.5,34.0,25.0,27.5,39.0,-12.0,donnee-climatique
2020,نوفمبــــــر,44.1,29.5,39.5,33.0,26.5,40.0,29.0,22.5,28.0,31.5,28.0,31.0,22.0,31.1,27.0,4.0,donnee-climatique
2020,ديسمبـــــر,11.6,33.0,8.5,16.0,5.5,7.5,4.0,1.5,3.0,9.0,17.0,6.0,13.0,10.4,25.0,-15.0,donnee-climatique
2020,جانفـــــــي,1.3,4.0,5.0,4.0,13.0,9.0,7.0,6.0,7.0,24.5,5.0,9.0,7.0,7.8,29.0,-21.0,donnee-climatique
2020,فيفـــــــري,3.0,5.0,0.0,0.0,4.0,0.0,2.0,4.0,1.0,0.0,5.0,6.0,4.0,2.6,21.0,-18.0,donnee-climatique
2020,مــــــارس,53.5,53.0,67.0,48.0,80.0,90.0,67.0,78.0,64.0,80.0,49.5,85.0,54.0,66.8,34.0,33.0,donnee-climatique
2020,أفريـــــــل,19.0,43.0,27.5,19.0,26.0,75.0,14.0,8.5,16.0,4.5,52.0,21.0,29.5,27.3,27.0,0.0,donnee-climatique
2020,مـــــــــاي,0.2,0.0,3.0,0.0,0.0,0.0,11.0,11.5,8.0,7.5,0.0,4.0,2.5,3.7,24.0,-20.0,donnee-climatique
2020,جــــــــوان,68.8,31.0,80.5,52.0,34.5,73.0,25.0,32.5,19.0,42.0,23.0,12.0,109.0,46.3,11.0,35.0,donnee-climatique
2020,جويليــــــة,1.5,1.5,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.4,4.0,-2.0,donnee-climatique
2020,أوت,0.5,8.0,7.0,3.0,0.0,6.0,0.0,1.5,0.0,0.0,10.0,7.0,5.0,3.7,14.0,-10.0,donnee-climatique
2020,المجموع 2019/2020,285.0,344.0,400.5,272.0,292.0,397.5,194.5,205.0,190.5,286.5,288.0,243.0,391.0,291.5,,,donnee-climatique
2020,المعدل السنوي العام,296.0,318.0,394.0,285.0,312.0,313.0,320.0,265.0,281.0,248.0,299.0,222.0,318.0,298.0,,,donnee-climatique
2021,سبتمبـــــر,172.4,106.0,69.5,147.0,172.0,188.0,81.0,101.0,133.0,82.5,98.0,153.0,105.0,123.7,44.0,80.0,donnee-climatique
2021,أكتوبــــــر,14.0,60.5,43.0,5.0,8.0,11.5,17.0,12.5,18.5,11.0,34.0,12.0,38.0,91.9,39.0,-17.0,donnee-climatique
2021,نوفمبــــــر,21.8,37.0,14.5,18.0,15.0,15.0,8.0,11.5,13.0,32.0,52.0,24.0,24.0,22.0,27.0,-5.0,donnee-climatique
